type,title,release_year,duration,listed_in,description
TV Show,Gown and Out in Beverly Hills,2020,2 Seasons,Unscripted,"Gown and Out in Beverly Hills is as revealing as it gets, taking you into the lives, excitement, magic and beauty of the show's stars', celebrity fashion designers, Pol' Atteu, Patrik Simpson and their PawSonality, Lil' SnowWhite90210. Their world-famous boutique caters to some of Hollywood's most glamorous and demanding celebrities as they prepare them for Red-Carpet debuts."
TV Show,Family Feud with Ray Combs,1989,1 Season,Unscripted,"Two families, each composed of five members, compete against each other to guess the answers with the results of a survey of one hundred people. Hosted by Ray Combs."
TV Show,Comicstaan,2019,2 Seasons,Unscripted,"Comicstaan is back with a brand new season! New Contestants, New Judges, New Everything. Find out who will be this year’s next big comic sensation! Watch new episode every Friday."
TV Show,Card Sharks with Jim Perry,1978,1 Season,Unscripted,Contestants compete to complete a block of five playing cards by trying to predict whether the next card will be higher or lower than the preceding one.
TV Show,Card Sharks with Bob Eubanks,1986,1 Season,Unscripted,Contestants compete to complete a block of five playing cards by trying to predict whether the next card will be higher or lower than the preceding one.
TV Show,Blockbusters with Bill Cullen,1981,1 Season,Unscripted,Question and answer game with two players against a single player in a race to connect boxes from one side of the game board to the other.
TV Show,America's Next Top Model,2010,14 Seasons,Unscripted,"America's Next Top Model welcomes one of the most influential members of the fashion world, Andre Leon Talley, as a new judge during Cycle 14 of the hit show on The CW. Thirteen new hopefuls from across the country are given the chance to prove they have what it takes."
TV Show,All or Nothing: The Michigan Wolverines,2018,1 Season,Unscripted,"All or Nothing: The Michigan Wolverines goes behind-the-scenes of the winningest program in college football to chronicle Michigan’s 2017 season. Head coach Jim Harbaugh leads his alma mater’s young team as the series provides an intimate look at the lives, both on the field and off, of the student athletes charged with carrying on Michigan’s legacy."
TV Show,Yukon Gold,2017,4 Seasons,Unscripted,"Season 5 kicks off with a bang for Chris and Nika, but Big Al has a devastating setback and two new camps battle weather and tough mountain roads."
TV Show,LOL: Last One Laughing Italy,2021,1 Season,Unscripted,"In the first season of LOL, 10 comedians - Caterina Guzzanti, Frank Matano, Elio, Lillo, Katia Follesa, Angelo Pintus, Ciro and Fru from The Jackal, Michela Giraud and Luca Ravenna - face off for six hours in a row to keep a straight face, trying everything to make their opponents laugh. Whoever makes it to the end wins €100,000 to turn over to charity. Fedez presents together with Mara Maionchi."
TV Show,LOL - Hasse toh Phasse,2021,1 Season,Unscripted,"Hosted by Boman Irani and Arshad Warsi, 10 of India’s most entertaining comedians face a unique challenge - survive 6 hours together without laughing while doing whatever it takes to break the other contenders. In this one of a kind comedy battle, a laugh, giggle or smile could get you eliminated, and only the one that can keep a straight face to the finish will be crowned ""Last One Laughing""."
TV Show,LOL - Last One Laughing Spain,2021,1 Season,Unscripted,"In the first season, 10 comedians: Silvia Abril, Edu Soto, Yolanda Ramos, Mario Vaquerizo, El Monaguillo, David Fernández, Arévalo, Rossy de Palma, Paco Collado and Carolina Noriega face off for six hours in a row to keep a straight face, trying to make their opponents laugh. The contest will be supervised by an exceptional host, Santiago Segura, with the help of his co-host Xavier Deltell"
TV Show,Wife on the Drive,2016,1 Season,Unscripted,"Female drivers are more than just women behind the wheel. In our project, we let a man teach his woman the art and craft of driving. Two couples participate in each episode and they have just 3 days to complete the task, the best one receives an award! In a way, the final result will always depend on the strength of the couple's feelings to each other, and we are there to put them to the test!"
TV Show,"LOL: Qui rit, sort!",2021,1 Season,Unscripted,"Philippe Lacheau has invited Inès Reg, Tarek Boudali, Alexandra Lamy, Kyan Khojandi, Bérengère Krief, Gérard Jugnot, Reem Kherici, Hakim Jemili, Fadily Camara, Julien Arruti to live a unique experience. For the next 6 hours, they will have to keep cool despite having to try and make each other laugh. If you laugh, you are eliminated. The winner will get 50 000 euros for a charity."
TV Show,Sergio Ramos,2021,2 Seasons,Unscripted,"Legends define themselves for who they have been, but also for who they are and who they will be. We are going to relive the great sporting milestones of a unique career, as we accompany Sergio in one of the strangest, most complicated seasons in soccer history. An opportunity to meet the legend, but also the person behind it, who’s already beginning to imagine life after soccer."
TV Show,Luxe Listings Sydney,2021,1 Season,Unscripted,"Iconic beaches and breathtaking properties make Sydney one of the most cutthroat real estate markets in the world. For the first time ever, this high stakes carousel of multi-million dollar homes is revealed through a trio of Australia’s top agents, who stop at nothing to deliver results for their demanding clientele, while balancing their hectic personal lives with their demanding careers."
TV Show,Portrait Artist of The Year,2007,3 Seasons,Unscripted,"This series, we see over 20 celebrity sitters for the competing heat."
TV Show,Latin Flow (Original Spanish Audio),2021,1 Season,Unscripted,"Latin Flow is the story of 9 Colombian women. They are singers, who driven by urban music and female empowerment, seek to open their own space in a very competitive world."
TV Show,Miss Multiverse - Australia,2020,1 Season,Unscripted,"Miss Multiverse Australia! Bringing together beautiful, successful and multifaceted women from around the country. But this is no ordinary modeling competition. They will be tested intellectually, physically, mentally and emotionally. Through a series of eliminations the winner will be revealed. Only the best will represent Australia in Miss Multiverse International."
TV Show,Super Password,1984,1 Season,Unscripted,"Two teams, consisting of a celebrity guest and a contestant, guess words from one word clues given by their partners, with each ""password"" a clue to the ""password puzzle"" (the name of a person, place, or thing)."
TV Show,LOL - Enga Siri Paappom,2021,1 Season,Unscripted,"Hosted by legendary comedian Vivek, and popular actor Mirchi Shiva, 10 Tamil comedians pull out all the stops to make each other laugh while ensuring they keep a straight face. One simple rule - you laugh, you lose. Those who laugh are eliminated while the last one standing gets the title & wins a whopping cash prize. 6 hours, 10 diverse comedians & 2 hilarious hosts, Dare you to laugh!"
TV Show,Wild & Free: Florianópolis,2021,2 Seasons,Unscripted,"Bia, Ramon, Tay, Luan, Nath and Murilo are back in Floripa for their summer vacation. This time a new friend called Anna is with them to get up to all kinds of crazy stuff while exploring the magic island natural beauty and nightlife attractions."
TV Show,Dinner Club,2021,1 Season,Unscripted,"The rules of Dinner Club: you have to love food, good company and traveling. Carlo Cracco will undertake six trips across Italy to rediscover its most authentic cuisine. With him six famous actors: one for each destination. His challenge on the way back? He will have to teach each of them how to cook a perfect dinner. Here good food will tell six stories: those of their travel, and life."
TV Show,Savage X Fenty Show,2021,3 Seasons,Unscripted,"Rihanna’s Emmy nominated Savage X Fenty Show Vol. 3 is an immersive fashion experience that combines fashion, dance, and music with iconic architecture and unforgettable performances. Featuring an all-star cast debuting the latest Savage X Fenty styles, the show is a visually stunning cultural moment that redefines sexy."
TV Show,Roadkill Garage,2017,1 Season,Unscripted,Roadkill Garage
TV Show,Pan y Circo,2021,2 Seasons,Unscripted,"Mexican actor and director Diego Luna returns with Bread and Circus, the winner series of Daytime Emmy for Best show in Spanish. In these specials, Diego Luna sets the table for guests, who will listen to others remotely, to talk about access to healthcare, the crisis of democracies, being an immigrant, and protest as a way to transform."
