type,title,release_year,duration,listed_in,description
TV Show,Yancy Derringer,1959,1 Season,Western,"Yancy Derringer, an ex-Confederate soldier turned gambler, was a suave lady's man in New Orleans, Louisiana. In reality, he was working for John Colton, the civil administrator of the city. Yancy's job was to prevent crime and if necessary, arrest the culprits. His constant companion was Pahoo-Ka-Ta-Wah a Native American who watches Yancy's back."
TV Show,C-Bar,2021,1 Season,Western,"After a young girl's family is brutally murdered, the Barnett Gang sets out to hunt down the evil men who committed the crime. They would never expect the repercussions that would ensue."
TV Show,The Gunrunner Billy Kane,2021,1 Season,Western,"A rogue professor runs guns to fund science experiments on humans that could possibly save his dying daughter. In this Mad Max meets Frankenstein. Confronted with the imminent death of his daughter from a neurological disease, rogue doctor Billy Kane takes a Frankenstein approach to finding a cure."
TV Show,The Californians,1959,2 Seasons,Western,"San Franciscans during the goldrush of the 1850s attempt to maintain law and order in their wild city. Newly arrived Matthew Wayne becomes sheriff, then marshal, and organizes the city police force while expressing interest in the young widow Fanzler and sparring with attorney Pitt."
TV Show,Last Frontier,1932,1 Season,Western,"Newspaper reporter Kirby battles Tiger Morris, the outlaw, who is looking to drive away settlers by stirring up trouble with Indians in an attempt to claim a gold deposit on his own. With the help of General Custer though, he is able to come out on top. Starring: Lon Chaney jr, Dorothy Gulliver"
