type,title,release_year,duration,listed_in,description
Movie,Selah and the Spades,2020,98 min,Young Adult Audience,"Five factions run the underground life of the prestigious Haldwell boarding school. At the head of the most powerful faction – THE SPADES – sits Selah Summers. Both charming and callous, Selah walks the fine line between being feared and loved, often cutting loose whomever she deems a threat to her power."
Movie,Happiness Continues: A Jonas Brothers Concert Film,2020,105 min,Young Adult Audience,A live concert experience and exclusive look into life on the road with The Jonas Brothers during their Happiness Begins concert tour.
Movie,Jean-François and the meaning of life,2018,85 min,Young Adult Audience,"A twelve-year-old existentialist kid runs away from home to meet his favorite philosopher, Albert Camus, not knowing he has been dead for fifty years. On his way he finds love and rejection for the first time in his life."
Movie,Drama Drama,2021,104 min,Young Adult Audience,"The most unlikely pairing of teen-age girls end up bonding to form the pop group Drama Drama, and make a stand against bullying in their high school."
