type,title,release_year,duration,listed_in,description
TV Show,Shaun the Sheep,2012,6 Seasons,Animation,It's sport's day with Shaun the Sheep!
TV Show,Journal of the Mysterious Creatures,2019,1 Season,Animation,"Yoshihito, an young man, decides to rent out an empty room in the house he lives in in order to earn a living.He runs into a wolf girl and a female vampire who wants to move in, and his life as a landlord begins.He meets a god there and is sentenced to serve as an examiner, tasked to manage the different races living in the empty rooms. His funny and slapstick life with various races begins now."
TV Show,2020 Best of Animation - Presented by Shortz,2020,1 Season,Animation,Award winning and nominated animation short film compilation from around the world.
TV Show,Baahubali The Lost Legends,2017,1 Season,Animation,"Before the war with the Kalakeya. Before Katappa killed Baahubali. Before the death of Sivagami. Two young brothers competed for the throne. One would go on to become king, and the other would go on to become a legend. Experience the secret stories from the world of Baahubali in this all new animated series."
TV Show,Himote House,2018,1 Season,Animation,"The comedy anime centers on five girls and one cat all living as housemates in Nakano, Tokyo: the three Himote sisters (Tokiyo, Kinami, and Kokoro) whose family manages the ""Himote House,"" Kokoro's classmates Tae and Minamo, and the cat Enishi. The girls live their daily lives trying to figure out ways to be popular, and they (and the cat) all possess a mysterious secret power..."
TV Show,Dragon King Legend .Born Disappeared Martial Soul,2021,1 Season,Animation,"With the advancement of Soul Guidance technology, the humans on Douluo Continent conquered the ocean and discovered two more continents. The soul beast is also going to die with the hunting of the human soul master. The soul beast king who has been sleeping for countless years wakes up in the last pure land of the Star Dou Great Forest."
TV Show,Rip the Falcon,2021,1 Season,Animation,"A lone wandering falcon travels place to place encountering strange, weird and dangerous encounters."
