type,title,release_year,duration,listed_in,description
Movie,The Amazing Mr. Blunden,1963,84 min,Fantasy,"The mysterious solicitor, Mr. Blunden, visits the near-destitute Mrs. Allen and her young children in her squalid, tiny Camden Town flat, and makes her an offer she can't refuse. The family becomes the housekeepers to a derelict country mansion in the charge of the solicitors."
Movie,Repo! The Genetic Opera,2008,98 min,Fantasy,"In the year 2056 - the not so distant future - an epidemic of organ failures devastates the planet. Out of the tragedy, a savior emerges: GeneCo, a biotech company that offers organ transplants for a price. Those who miss their payments are scheduled for repossession and hunted by villainous Repo Men."
Movie,Nightlight,2015,84 min,Fantasy,A night of flashlight games and ghost stories becomes a journey into absolute terror when five teens awaken a demonic presence in the woods.
