type,title,release_year,duration,listed_in,description
TV Show,Fak Yaass,2020,1 Season,Romance,"""Fak Yaass"" tells the ""true"" story of Nico Nicolakis' big Greek family and their journey of accepting him and his sexuality. Showing the clash between old tradition and the new age, millennial Nico struggles with returning home, somewhere he's always felt judged and unworthy. With the help of his friends, Nico lets his family in, and they accept him until a secret scheme may break that forever."
TV Show,Beautiful Reborn Flower,2020,1 Season,Romance,"After his girlfriend Nan Sheng dies, He Ping meets a mysterious girl who looks exactly like her – her estranged twin. While they try to fight their growing feelings for each other, will their shared past bring them together, or tear them apart?"
TV Show,Finding You,2021,1 Season,Romance,Shane (Smith) and Jonathan (Brian) seem to be stuck in toxic relationships until a chance encounter brings them together with a possibility of hope for happiness.
TV Show,7 LOVE,2021,1 Season,Romance,"After breakup with girlfriend Ishita, A young and eligible bachelor Aarush finds himself in a sticky situation with 6 gorgeous ladies who walk into his life. a pretty nerd, innocent interviewee, an unhappy married woman, a rich sexy employee, neighbor's sanskari daughter and a sassy rapper all vying for his attention, Aarush has to make a choice."
TV Show,Chasing Angel,2019,1 Season,Romance,"When a merciless district attorney is sentenced to death, he meets a streetwise young woman on the run from the law who changes everything. Haunted by his past, he's desperate to put things right, and he's running out of time."
TV Show,Helix Studios Presents,2020,2 Seasons,Romance,Queer anthology series surrounding the lives of young guys who are out to have a good time.
TV Show,A River Runs Through It,2021,1 Season,Romance,A story that follows students who journey through life and share experiences in sadness and joy. It starts with a transfer student who makes a new set of friends at her new school.
TV Show,Couple of Mirrors,2021,1 Season,Romance,"You Yi is a younger, innocent, and type-hearted socialite and a successful creator, residing with anyone's adoration and envy. Her ideal lifestyles is grew to become upside-down while she discovers a betrayal by way of the two most trusted human beings in her existence. With no one left to turn to, she unearths safe haven in the friendship and guide of Yan Wei."
