type,title,release_year,duration,listed_in,description
TV Show,#Lagira de #eldisco,2019,1 Season,Music Videos and Concerts,Alejandro Sanz presents us on this occasion the audiovisual version of #ELCONCIERTO + #ELDOCUMENTAL. This exclusive content is a complete reflect of the success that the artist has achieved.
TV Show,DREAMS COME TRUE Prime Video Show,2021,1 Season,Music Videos and Concerts,"Three titles featuring the charismatic J-Pop duo DREAMS COME TRUE, consisting of footages from their latest premium concert “DREAMS COME TRUE Premium Acoustic-Mi Live Show” as well as 2 talk shows. Check out the footages of 8 past lives concerts too, in the “DREAMS COME TRUE Prime Video Show” series. ©DCT entertainment, Inc."
TV Show,MI HISTORIA,2021,1 Season,Music Videos and Concerts,Amazon Music presenta una serie biográfica sobre tus artistas favoritos de la música Latina.
