type,title,release_year,duration,listed_in,description
Movie,Naruto Shippûden the Movie: The Will of Fire,2009,96 min,Action & Adventure,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
Movie,Naruto Shippuden: The Movie,2007,95 min,Action & Adventure,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."
Movie,Naruto Shippuden: The Movie: The Lost Tower,2010,85 min,Action & Adventure,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
Movie,Naruto the Movie 2: Legend of the Stone of Gelel,2005,97 min,Action & Adventure,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,2006,95 min,Action & Adventure,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."
Movie,Naruto the Movie: Ninja Clash in the Land of Snow,2004,83 min,Action & Adventure,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
Movie,Nightbooks,2021,103 min,Family Movies,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.
Movie,Schumacher,2021,113 min,Documentaries,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher."
Movie,A StoryBots Space Adventure,2021,13 min,Family Movies,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.
Movie,King of Boys,2018,182 min,Dramas,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
Movie,You vs. Wild: Out Cold,2021,106 min,Family Movies,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure."
Movie,Little Singham - Black Shadow,2021,48 min,Family Movies,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?
Movie,Tughlaq Durbar,2020,145 min,Comedies,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
Movie,Tughlaq Durbar (Telugu),2021,145 min,Comedies,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
Movie,Firedrake the Silver Dragon,2021,93 min,Family Movies,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free."
Movie,Kate,2021,106 min,Action & Adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
Movie,Omo Ghetto: the Saga,2020,147 min,Action & Adventure,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them."
Movie,Prey,2021,87 min,Thrillers,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.
Movie,Blood Brothers: Malcolm X & Muhammad Ali,2021,96 min,Documentaries,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals."
Movie,Paradise Hills,2019,95 min,Thrillers,"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse."
Movie,The Women and the Murderer,2021,92 min,Documentaries,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.
Movie,JJ+E,2021,91 min,Dramas,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?"
Movie,Show Dogs,2018,90 min,Family Movies,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.
Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,97 min,Documentaries,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant."
Movie,Untold: Breaking Point,2021,80 min,Documentaries,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court."
Movie,Shadow Parties,2020,117 min,Dramas,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.
Movie,Angamaly Diaries,2017,128 min,Action & Adventure,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
Movie,A Champion Heart,2018,90 min,Family Movies,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
Movie,Worth,2021,119 min,Dramas,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events."
Movie,Afterlife of the Party,2021,110 min,Comedies,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.
Movie,Anjaam,1994,143 min,Dramas,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."
Movie,Bright Star,2009,119 min,Dramas,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.
Movie,Dhanak,2015,114 min,Comedies,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.
Movie,Final Account,2021,94 min,Documentaries,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.
Movie,Gurgaon,2017,106 min,Dramas,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own."
Movie,Here and There,2020,99 min,Dramas,"After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic."
Movie,In the Cut,2003,118 min,Thrillers,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime."
Movie,Shikara,2020,115 min,Dramas,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.
Movie,A Cinderella Story,2004,95 min,Family Movies,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?
Movie,Agatha Christie's Crooked House,2017,115 min,Dramas,"When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family."
Movie,An Unfinished Life,2005,108 min,Dramas,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive."
Movie,Barbie Big City Big Dreams,2021,63 min,Family Movies,"At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends."
Movie,Blade Runner: The Final Cut,1982,117 min,Action & Adventure,"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants."""
Movie,Chappie,2015,121 min,Action & Adventure,"In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence."
Movie,Clear and Present Danger,1994,142 min,Action & Adventure,"When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel."
Movie,Cliffhanger,1993,113 min,Action & Adventure,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers."
Movie,Cold Mountain,2003,154 min,Dramas,"This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm."
Movie,Crocodile Dundee in Los Angeles,2001,95 min,Action & Adventure,"When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel."
Movie,Dear John,2010,108 min,Dramas,"While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together."
Movie,Do the Right Thing,1989,120 min,Comedies,"On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy."
Movie,"El patrón, radiografía de un crimen",2014,100 min,Dramas,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.
Movie,Extraction,2015,82 min,Action & Adventure,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
Movie,Freedom Writers,2007,124 min,Dramas,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives."
Movie,Green Lantern,2011,114 min,Action & Adventure,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.
Movie,House Party,1990,104 min,Comedies,"Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another."
Movie,House Party 2,1991,94 min,Comedies,"Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash."
Movie,House Party 3,1994,94 min,Comedies,"After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications."
Movie,I Got the Hook Up,1998,93 min,Action & Adventure,"After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van."
Movie,In Too Deep,1999,97 min,Thrillers,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder."
