type,title,release_year,duration,listed_in,description
TV Show,Mighty Raju,2017,4 Seasons,Kids TV,"Born with superhuman abilities, young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!"
TV Show,Into the Night,2021,2 Seasons,TV Dramas,Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.
TV Show,The Circle,2021,3 Seasons,Reality TV,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000."
TV Show,Kid Cosmic,2021,2 Seasons,Kids,A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.
TV Show,Octonauts: Above & Beyond,2021,1 Season,Kids,"The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk."
TV Show,On the Verge,2021,1 Season,TV Comedies,"Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA."
TV Show,Tobot Galaxy Detectives,2019,2 Seasons,Kids TV,"An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil."
TV Show,Countdown: Inspiration4 Mission to Space,2021,1 Season,Docuseries,"From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission."
TV Show,Tayo the Little Bus,2016,2 Seasons,Kids,"As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day."
TV Show,Bunk'd,2021,5 Seasons,Kids,"The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met."
TV Show,Dive Club,2021,1 Season,Kids,"On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing."
TV Show,La casa de papel,2021,5 Seasons,Crime TV Shows,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.
TV Show,Money Heist: From Tokyo to Berlin,2021,1 Season,Docuseries,"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series."
TV Show,Sharkdog,2021,1 Season,Kids TV,"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure."
TV Show,Heroes of Goo Jit Zu,2021,1 Season,Kids,"After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers."
TV Show,Hotel Del Luna,2019,1 Season,TV Comedies,"When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world."
