type,title,release_year,duration,listed_in,description
Movie,Chhota Bheem in African Safari,2015,62 min,Family Movies,Bheem’s plans for an exciting African safari are interrupted when he finds that an evil ruler is using magical powers to cause drought through the land.
Movie,Chhota Bheem Ka Roosi Romanch,2019,63 min,Family Movies,"A faulty transportation machine lands Chhota Bheem and his friends in Russia, where they must save a princess from an evil, power-hungry magician."
Movie,Chhota Bheem: Bheem vs Aliens,2010,69 min,Family Movies,Space invaders have kidnapped Dholakpur’s king and princess! The only way Bheem can rescue them? Defeat the aliens in a cricket match.
Movie,Chhota Bheem: Dholakpur to Kathmandu,2012,70 min,Family Movies,Bheem’s holiday in Nepal takes an unexpected turn when he is called on to save a monkey cub from snow leopards and reunite him with his father.
Movie,Chhota Bheem: Dus Pe Dus,2014,63 min,Family Movies,"After a precious temple stone is stolen under his watch, Bheem trains in a special martial art to prepare for a showdown with the thief."
Movie,Chhota Bheem: Journey to Petra,2011,68 min,Family Movies,"The king has been away to meet an old friend, but when he sends for urgent help, Bheem finds himself on an action-packed rescue mission to Egypt!"
Movie,Chhota Bheem: Master of Shaolin,2011,74 min,Family Movies,"Summoned by a monk to help reclaim a temple from a dangerous leader, Bheem must master the Shaolin kung fu techniques if he wants a fighting chance!"
Movie,Chhota Bheem: The Rise of Kirmada,2012,68 min,Family Movies,Bheem and young lord Krishna team up to protect the world against the wicked and powerful Kirmada and his equally dangerous bat army.
Movie,Words Bubble Up Like Soda Pop,2021,87 min,Family Movies,"After meeting one bright, sunny day, a shy boy who expresses himself through haiku and a bubbly but self-conscious girl share a brief, magical summer."
Movie,Trollhunters: Rise of the Titans,2021,106 min,Family Movies,"Heroes from ""Trollhunters,"" ""3Below"" and ""Wizards"" join forces to fight a shadowy enemy threatening to take over their worlds — and reset Earth itself."
Movie,Surf's Up,2007,86 min,Family Movies,This Oscar-nominated animated comedy goes behind the scenes at the Penguin World Surfing Championship to get a close-up look at the inventors of surfing.
