type,title,release_year,duration,listed_in,description
TV Show,Age of Samurai: Battle for Japan,2021,1 Season,Docuseries,Dynamic reenactments and expert commentaries bring to life the tumultuous history and power struggles of a warring 16th-century feudal Japan.
TV Show,Amend: The Fight for America,2021,1 Season,Docuseries,"Will Smith hosts this look at the evolving, often lethal, fight for equal rights in America through the lens of the US Constitution's 14th Amendment."
TV Show,MeatEater,2021,4 Seasons,Docuseries,Steven Rinella scrounges in some of America's wildest terrains in this unscripted series showing him on the hunt for wild animals from ducks to deer.
TV Show,We Are: The Brooklyn Saints,2021,1 Season,Docuseries,A Brooklyn youth football program and its selfless coaches provide a safe haven for kids to compete and learn lessons that will take them far in life.
TV Show,Spycraft,2021,1 Season,Docuseries,"The spy game is a serious business, and throughout history, the tools and technologies developed for it have mattered as much as the spies themselves."
TV Show,Pretend It’s a City,2021,1 Season,Docuseries,"Wander the New York City streets and fascinating mind of wry writer, humorist and raconteur Fran Lebowitz as she sits down with Martin Scorsese."
TV Show,Korean Pork Belly Rhapsody,2020,1 Season,Docuseries,A love letter to pork belly — a perennial favorite among Koreans of every generation — unfolds with an exploration of its history and cooking methods.
TV Show,QB1: Beyond the Lights,2019,1 Season,Docuseries,This riveting series follows three star high school quarterbacks as they play their final season before moving on to Division I college football.
TV Show,Headspace Guide to Meditation,2021,1 Season,Docuseries,"Headspace takes a friendly, animated look at the benefits of meditation while offering techniques and guided meditations to jump-start your practice."
TV Show,Chilling Adventures of Sabrina,2020,4 Seasons,TV Horror,"Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night."
TV Show,Regiment Diaries,2020,2 Seasons,Docuseries,"Historical footage and interviews with soldiers showcase war stories, unique traditions and unifying principles of the Indian Army’s various regiments."
TV Show,Anitta: Made In Honório,2020,1 Season,Docuseries,"In this intimate documentary, Brazilian pop queen Anitta opens up about fame, family and her fierce work ethic, revealing the woman behind the hits."
TV Show,BREAK IT ALL: The History of Rock in Latin America,2020,1 Season,Docuseries,"Soda Stereo, Café Tacvba, Aterciopelados and others figure in this 50-year history of Latin American rock through dictatorships, disasters and dissent."
TV Show,Song Exploder,2020,2 Seasons,Docuseries,Get inspired as musicians dig deep into the creative process of songwriting and reveal their intimate thoughts in a series based on the hit podcast.
TV Show,The Surgeon's Cut,2020,1 Season,Docuseries,"They’re philosophers, storytellers and pioneers in their fields. Four surgeons reflect on their lives and professions in this inspiring docuseries."
TV Show,Alien Worlds,2020,1 Season,Docuseries,"Applying the laws of life on Earth to the rest of the galaxy, this series blends science fact and fiction to imagine alien life on other planets."
TV Show,The Guest,2018,1 Season,TV Horror,"Bound together by a tragic past, a psychic, a priest and a detective join forces to take down a powerful spirit that's driven by bloodthirst."
TV Show,The Holiday Movies That Made Us,2020,1 Season,Docuseries,"Unwrap the real stories behind these iconic Christmas blockbusters, thanks to insider interviews and behind-the-scenes peeks."
